Kinetic Electron Nuclear Total
3.000E+00 1.065E+02 6.903E-02 1.065E+02 
3.500E+00 9.484E+01 5.994E-02 9.490E+01 
4.000E+00 8.571E+01 5.303E-02 8.576E+01 
4.500E+00 7.834E+01 4.759E-02 7.838E+01 
5.000E+00 7.224E+01 4.318E-02 7.228E+01 
5.500E+00 6.711E+01 3.955E-02 6.715E+01 
6.000E+00 6.272E+01 3.649E-02 6.276E+01 
6.500E+00 5.892E+01 3.388E-02 5.896E+01 
7.000E+00 5.560E+01 3.163E-02 5.563E+01 
7.500E+00 5.266E+01 2.967E-02 5.269E+01 
8.000E+00 5.005E+01 2.795E-02 5.008E+01 
8.500E+00 4.771E+01 2.641E-02 4.774E+01 
9.000E+00 4.560E+01 2.505E-02 4.562E+01 
9.500E+00 4.368E+01 2.382E-02 4.371E+01 
1.000E+01 4.194E+01 2.271E-02 4.196E+01 
1.250E+01 3.509E+01 1.844E-02 3.511E+01 
1.500E+01 3.032E+01 1.554E-02 3.033E+01 
1.750E+01 2.678E+01 1.345E-02 2.679E+01 
2.000E+01 2.405E+01 1.187E-02 2.406E+01 
2.500E+01 2.009E+01 9.619E-03 2.010E+01 
2.750E+01 1.861E+01 8.793E-03 1.861E+01 
3.000E+01 1.735E+01 8.100E-03 1.736E+01 
3.500E+01 1.533E+01 7.003E-03 1.534E+01 
4.000E+01 1.378E+01 6.173E-03 1.378E+01 
4.500E+01 1.254E+01 5.522E-03 1.255E+01 
5.000E+01 1.154E+01 4.998E-03 1.155E+01 
5.500E+01 1.071E+01 4.567E-03 1.071E+01 
6.000E+01 1.000E+01 4.205E-03 1.001E+01 
6.500E+01 9.398E+00 3.898E-03 9.401E+00 
7.000E+01 8.874E+00 3.633E-03 8.878E+00 
7.500E+01 8.416E+00 3.403E-03 8.420E+00 
8.000E+01 8.012E+00 3.201E-03 8.015E+00 
8.500E+01 7.652E+00 3.022E-03 7.655E+00 
9.000E+01 7.329E+00 2.862E-03 7.332E+00 
9.500E+01 7.039E+00 2.719E-03 7.042E+00 
1.000E+02 6.776E+00 2.590E-03 6.778E+00 
1.250E+02 5.760E+00 2.095E-03 5.762E+00 
1.500E+02 5.068E+00 1.762E-03 5.070E+00 
1.750E+02 4.566E+00 1.522E-03 4.567E+00 
2.000E+02 4.185E+00 1.340E-03 4.186E+00 
2.250E+02 3.886E+00 1.198E-03 3.887E+00 
2.500E+02 3.645E+00 1.084E-03 3.646E+00 
