Kinetic Electron Nuclear Total
3.000E+00 1.171E+02 7.972E-02 1.172E+02 
3.500E+00 1.041E+02 6.916E-02 1.042E+02 
4.000E+00 9.398E+01 6.113E-02 9.404E+01 
4.500E+00 8.580E+01 5.481E-02 8.586E+01 
5.000E+00 7.906E+01 4.970E-02 7.911E+01
5.500E+00 7.339E+01 4.549E-02 7.343E+01 
6.000E+00 6.854E+01 4.195E-02 6.858E+01 
6.500E+00 6.434E+01 3.894E-02 6.438E+01 
7.000E+00 6.068E+01 3.634E-02 6.071E+01 
7.500E+00 5.744E+01 3.407E-02 5.747E+01 
8.000E+00 5.456E+01 3.208E-02 5.460E+01 
8.500E+00 5.199E+01 3.031E-02 5.202E+01 
9.000E+00 4.966E+01 2.873E-02 4.969E+01 
9.500E+00 4.756E+01 2.731E-02 4.759E+01 
1.000E+01 4.564E+01 2.603E-02 4.567E+01 
1.250E+01 3.813E+01 2.111E-02 3.815E+01 
1.500E+01 3.290E+01 1.778E-02 3.292E+01 
1.750E+01 2.904E+01 1.538E-02 2.905E+01 
2.000E+01 2.605E+01 1.356E-02 2.607E+01 
2.500E+01 2.174E+01 1.098E-02 2.175E+01 
2.750E+01 2.012E+01 1.003E-02 2.013E+01 
3.000E+01 1.875E+01 9.239E-03 1.876E+01 
3.500E+01 1.656E+01 7.983E-03 1.656E+01 
4.000E+01 1.487E+01 7.034E-03 1.488E+01 
4.500E+01 1.353E+01 6.290E-03 1.354E+01 
5.000E+01 1.244E+01 5.691E-03 1.245E+01 
5.500E+01 1.154E+01 5.199E-03 1.154E+01 
6.000E+01 1.078E+01 4.786E-03 1.078E+01 
6.500E+01 1.012E+01 4.435E-03 1.013E+01 
7.000E+01 9.555E+00 4.134E-03 9.559E+00 
7.500E+01 9.059E+00 3.871E-03 9.063E+00 
8.000E+01 8.622E+00 3.641E-03 8.625E+00 
8.500E+01 8.233E+00 3.437E-03 8.236E+00 
9.000E+01 7.884E+00 3.255E-03 7.888E+00 
9.500E+01 7.570E+00 3.092E-03 7.573E+00 
1.000E+02 7.286E+00 2.944E-03 7.289E+00 
1.250E+02 6.190E+00 2.381E-03 6.192E+00 
1.500E+02 5.443E+00 2.001E-03 5.445E+00 
1.750E+02 4.901E+00 1.728E-03 4.903E+00 
2.000E+02 4.491E+00 1.522E-03 4.492E+00 
2.250E+02 4.169E+00 1.361E-03 4.170E+00 
2.500E+02 3.910E+00 1.231E-03 3.911E+00 
