file,n_epochs,batch_size,n_train_samples,n_valid_samples,n_test_samples,R^2,MSE,training_time,date
pointy_gaussians/very_noisy,25,500,600000,200000,200000,0.289698,0.098172,2m20.99s,2025-04-25 22:12:59
pointy_gaussians/smooth,25,500,600000,200000,200000,0.842551,0.049734,2m17.97s,2025-04-25 22:15:46
pointy_gaussians/noisy,25,500,600000,200000,200000,0.550687,0.083110,2m21.86s,2025-04-25 22:18:37
contaminated_gaussians/very_noisy,25,500,600000,200000,200000,0.955972,0.093815,2m17.53s,2025-04-25 22:21:12
contaminated_gaussians/smooth,25,500,600000,200000,200000,0.999810,0.002544,2m19.72s,2025-04-25 22:23:49
contaminated_gaussians/noisy,25,500,600000,200000,200000,0.992451,0.028321,2m18.34s,2025-04-25 22:26:25
single_gaussian/very_noisy,25,500,600000,200000,200000,0.608160,0.300740,2m16.73s,2025-04-25 22:28:52
single_gaussian/smooth,25,500,600000,200000,200000,0.997931,0.008408,2m15.31s,2025-04-25 22:31:17
single_gaussian/noisy,25,500,600000,200000,200000,0.884864,0.072904,2m16.17s,2025-04-25 22:33:43
distinct_gaussians/very_noisy,25,500,600000,200000,200000,0.860242,0.220291,2m16.43s,2025-04-25 22:36:15
distinct_gaussians/smooth,25,500,600000,200000,200000,0.999228,0.007556,2m16.01s,2025-04-25 22:38:46
distinct_gaussians/noisy,25,500,600000,200000,200000,0.973697,0.056955,2m15.89s,2025-04-25 22:41:17
two_gaussian_components/very_noisy,25,500,600000,200000,200000,0.618570,0.162224,2m16.87s,2025-04-25 22:43:53
two_gaussian_components/smooth,25,500,600000,200000,200000,0.958164,0.027409,2m16.67s,2025-04-25 22:46:28
two_gaussian_components/noisy,25,500,600000,200000,200000,0.875729,0.086644,2m16.26s,2025-04-25 22:49:03
distinct_twin_gaussians/very_noisy,25,500,600000,200000,200000,0.881653,0.153120,2m15.83s,2025-04-25 22:51:32
distinct_twin_gaussians/smooth,25,500,600000,200000,200000,0.999829,0.003527,2m18.54s,2025-04-25 22:54:03
distinct_twin_gaussians/noisy,25,500,600000,200000,200000,0.978593,0.040133,2m17.25s,2025-04-25 22:56:33
merged_twin_gaussians/very_noisy,25,500,600000,200000,200000,0.928873,0.349840,2m17.68s,2025-04-25 22:59:03
merged_twin_gaussians/smooth,25,500,600000,200000,200000,0.999593,0.048732,2m15.45s,2025-04-25 23:01:31
merged_twin_gaussians/noisy,25,500,600000,200000,200000,0.987315,0.221824,2m17.14s,2025-04-25 23:04:00
