file,n_epochs,batch_size,n_train_samples,n_valid_samples,n_test_samples,R^2,MSE,training_time,date
pointy_gaussians/very_noisy,25,500,600000,200000,200000,0.308457,0.095951,3m19.79s,2025-04-26 13:30:36
pointy_gaussians/smooth,25,500,600000,200000,200000,0.897975,0.037589,3m17.91s,2025-04-26 13:34:21
pointy_gaussians/noisy,25,500,600000,200000,200000,0.571539,0.081814,3m20.21s,2025-04-26 13:38:08
contaminated_gaussians/very_noisy,25,500,600000,200000,200000,0.956878,0.083791,3m21.69s,2025-04-26 13:41:45
contaminated_gaussians/smooth,25,500,600000,200000,200000,0.999370,0.004362,3m19.71s,2025-04-26 13:45:20
contaminated_gaussians/noisy,25,500,600000,200000,200000,0.992425,0.026557,3m19.56s,2025-04-26 13:48:55
single_gaussian/very_noisy,25,500,600000,200000,200000,0.609377,0.285557,3m15.75s,2025-04-26 13:52:19
single_gaussian/smooth,25,500,600000,200000,200000,-8.815143,0.019617,3m16.28s,2025-04-26 13:55:43
single_gaussian/noisy,25,500,600000,200000,200000,0.885684,0.063986,3m08.88s,2025-04-26 13:59:00
distinct_gaussians/very_noisy,25,500,600000,200000,200000,0.862887,0.205778,3m06.70s,2025-04-26 14:02:19
distinct_gaussians/smooth,25,500,600000,200000,200000,0.998730,0.010577,3m06.72s,2025-04-26 14:05:39
distinct_gaussians/noisy,25,500,600000,200000,200000,0.974455,0.048164,3m05.22s,2025-04-26 14:08:57
two_gaussian_components/very_noisy,25,500,600000,200000,200000,0.621527,0.158111,3m05.88s,2025-04-26 14:12:19
two_gaussian_components/smooth,25,500,600000,200000,200000,0.980322,0.024675,3m06.35s,2025-04-26 14:15:42
two_gaussian_components/noisy,25,500,600000,200000,200000,0.884353,0.081983,3m08.41s,2025-04-26 14:19:07
distinct_twin_gaussians/very_noisy,25,500,600000,200000,200000,0.882088,0.148621,3m09.12s,2025-04-26 14:22:26
distinct_twin_gaussians/smooth,25,500,600000,200000,200000,0.999870,0.001978,3m07.06s,2025-04-26 14:25:43
distinct_twin_gaussians/noisy,25,500,600000,200000,200000,0.978936,0.031713,3m08.56s,2025-04-26 14:29:02
merged_twin_gaussians/very_noisy,25,500,600000,200000,200000,0.929313,0.338428,3m10.03s,2025-04-26 14:32:22
merged_twin_gaussians/smooth,25,500,600000,200000,200000,0.999747,0.012056,3m15.18s,2025-04-26 14:35:47
merged_twin_gaussians/noisy,25,500,600000,200000,200000,0.987851,0.194876,3m10.62s,2025-04-26 14:39:08
single_gaussian/smooth,25,500,600000,200000,200000,0.996405,0.009023,3m21.10s,2025-04-26 17:06:00
